"ID","zeroSegment"
1,0
3,1
4,1
8,1
10,1
13,0
14,1
18,1
20,0
23,1
25,1
26,0
29,1
31,1
32,1
34,1
36,0
39,1
42,1
43,1
45,0
49,1
51,1
54,1
56,0
60,1
61,0
66,0
68,1
74,1
75,1
77,0
80,0
82,1
83,1
84,0
87,0
88,1
90,1
91,1
92,0
93,1
95,1
101,1
102,1
105,0
106,1
107,1
109,1
111,0
113,1
115,1
118,0
122,1
125,1
127,1
130,1
131,1
132,1
134,1
135,1
136,1
137,0
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,1
148,1
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
159,1
161,0
162,0
163,1
165,1
166,0
169,1
170,1
171,0
172,1
173,1
175,1
176,1
177,1
178,1
179,1
180,1
182,0
183,1
184,1
186,1
188,1
191,1
192,1
193,1
195,1
196,1
199,1
200,1
202,0
203,0
204,1
206,1
207,1
209,1
210,1
212,1
213,1
214,0
215,1
217,1
218,1
220,1
221,0
222,1
225,1
227,1
228,1
231,1
232,1
233,1
234,1
235,0
236,1
239,1
241,1
242,1
244,1
252,0
253,1
254,1
258,0
259,1
262,1
265,1
266,1
269,0
270,1
271,1
273,1
276,1
279,1
285,1
287,1
288,0
289,1
292,0
294,1
296,1
299,1
301,1
302,1
303,0
306,0
307,1
311,1
314,1
316,1
319,0
320,1
322,1
324,1
332,1
333,1
340,1
342,1
344,0
345,1
347,1
349,0
353,0
354,0
355,1
356,1
359,1
362,1
363,1
369,1
371,0
373,1
374,1
375,1
378,1
382,0
383,0
384,1
387,1
388,1
390,1
394,1
402,0
404,1
407,1
408,0
410,1
412,0
414,0
415,1
416,1
417,1
420,1
421,1
423,1
426,1
428,1
429,1
432,1
433,1
436,1
440,0
441,1
443,1
444,1
445,0
447,0
448,0
449,1
453,1
456,1
457,0
458,1
459,1
460,1
461,1
462,0
466,1
469,1
471,0
474,1
477,0
478,1
480,1
482,1
485,1
488,0
489,1
490,1
492,1
493,1
496,0
500,1
501,1
502,1
513,0
514,1
515,0
517,1
523,1
527,1
530,0
533,0
535,1
537,1
538,0
543,1
544,1
547,1
548,1
549,0
550,0
551,0
553,0
554,1
555,1
558,1
560,0
561,1
564,1
566,1
567,1
568,0
571,1
572,1
573,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,0
586,1
587,1
588,1
591,1
596,1
598,0
599,1
600,1
602,1
606,1
609,1
611,1
614,1
618,1
622,1
623,1
626,1
627,1
631,1
633,1
635,1
636,0
639,0
640,1
641,1
645,0
647,1
648,1
649,1
650,1
651,1
652,1
653,0
654,1
656,1
657,1
658,1
659,1
661,1
662,1
663,1
667,1
668,1
669,0
673,1
674,1
679,1
681,1
682,1
686,0
687,1
688,1
689,1
690,0
692,1
694,1
695,1
697,1
701,1
702,1
706,1
708,1
710,1
712,1
714,1
715,1
717,1
718,1
720,1
725,1
726,0
730,1
731,1
732,1
734,1
735,1
737,0
738,1
740,1
741,1
746,1
748,1
753,0
754,1
757,1
758,1
759,0
760,1
761,1
767,1
768,1
771,1
772,1
775,1
782,1
783,1
784,1
785,0
787,1
789,1
790,1
791,1
792,1
793,1
795,1
797,0
798,1
799,1
800,0
806,1
807,1
808,0
811,0
812,0
813,1
814,1
815,1
816,1
818,0
820,1
822,1
823,1
827,1
828,1
829,1
834,1
835,1
836,0
838,1
846,1
847,1
849,1
850,1
851,1
852,0
857,1
858,1
859,1
860,1
862,1
863,1
864,1
868,1
869,1
877,1
878,0
881,1
882,0
885,1
887,0
888,1
889,1
891,1
898,1
903,1
904,1
906,1
907,1
908,1
909,0
910,0
911,1
913,1
916,1
920,1
924,1
925,1
927,1
928,1
932,1
933,1
934,1
935,1
936,1
940,0
942,0
943,0
944,1
945,0
948,0
949,1
958,1
959,1
961,1
962,1
964,1
965,1
967,1
968,0
970,1
973,1
974,0
976,1
977,1
978,1
979,0
981,1
984,1
986,1
989,0
990,0
993,1
994,1
997,1
999,0
